# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
64              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.17268262e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
65              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.17654510e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
66              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.18037197e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
67              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.18415979e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
68              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.18791169e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
69              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.19162442e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
70              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.19530106e+01	(-5.98615221e-04 1.23965587e-05 5.00000000e-02)	5
71              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.19896291e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
72              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.20259206e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
73              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.20617955e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
74              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.20972848e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
75              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.21323601e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
76              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.21670516e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
77              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.22013326e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
78              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.22352326e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
79              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.22687263e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
80              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.23018234e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
81              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.23345490e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
82              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.23668770e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
83              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.23988354e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
84              	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.24304016e+01	(-5.98615221e-04 1.33064937e-05 5.00000000e-02)	5
